id,genre,track_name,artist_name,valence,energy
5MYfpFJYm8WNFGssR6H2Oz,acoustic,No One's Gonna Love You - Live from Spotify Sweden,Band of Horses,0.192,0.188
7tdXvaCZmWZJOrZE9zFXpr,acoustic,The Blower's Daughter,Damien Rice,0.0775,0.192
6IQTaNmbMMO1mX3p8iwEBQ,acoustic,Angeles,Elliott Smith,0.588,0.0993
2dLLR6qlu5UJ5gk0dKz0h3,acoustic,Royals,Lorde,0.337,0.428
1uXHWnZ85lhAf19DRzU3Oz,acoustic,Walking Aimlessly,Anna Ternheim,0.344,0.302
5BNxLlPzaAyGKj09vSbZC3,acoustic,Atlas Hands,Benjamin Francis Leftwich,0.406,0.247
7vcuTZAFyu0Z5dgMRLR0h0,acoustic,Such Great Heights,Iron & Wine,0.552,0.275
3fCJRE4P1uU8dcqEW5mnM6,acoustic,Staple It Together,Jack Johnson,0.786,0.794
1c7UYTut2SBOPq64o2t0uN,acoustic,Why Georgia,John Mayer,0.369,0.639
7utRJ4BeYx85khzP3lKoBX,acoustic,Tears in Heaven,Eric Clapton,0.312,0.242
6Vc5wAMmXdKIAM7WUoEb7N,acoustic,Say Something,A Great Big World,0.0765,0.147
1nuqzCMgj2lxZCmpdCmIGv,acoustic,A Lack of Color,Various Artists,0.357,0.337
47YCLbdWctAmEDphy658VD,acoustic,"Jackson - MTV Unplugged, 2012",Florence + The Machine,0.232,0.648
6TKhMnW63mUIgu3MW9P580,acoustic,Diamonds,Ben Howard,0.235,0.675
0SuG9kyzGRpDqrCWtgD6Lq,acoustic,Give Me Love,Ed Sheeran,0.11,0.328
4Y1ZvAbetcpZsmedL9uhmR,acoustic,"Next To Me - Live From Spotify NYC, USA/2012",Emeli Sandé,0.294,0.397
5Og47k4AHrotP2QP36p5iO,acoustic,Warwick Avenue,Duffy,0.502,0.59
5iR5GQnY5ds7mxizUUVyfl,acoustic,Killing Me Softly,C. J. Johnson,0.357,0.291
29U5oQA6is4paPj5m31x4n,acoustic,Maria,Justin Bieber,0.253,0.691
2wTm4lzLG4EKQxhWHF9VGG,acoustic,Scene Four - Don't You Ever Forget About Me,Sleeping With Sirens,0.364,0.684
7bcP9k51f1VNCaFUyZ3P5M,acoustic,Life for Rent,Dido,0.159,0.533
4VJgrWjrkodaGiq3xKz62z,acoustic,Sometimes (I Wish),City and Colour,0.135,0.467
5LkAwO0AkY6Z3M4bCadu4r,acoustic,Freak On A Leash - Feat. Amy Lee,Korn,0.169,0.776
6su14iUXShlMI5SnEkwe4J,acoustic,Ho Hey,Nashville Cast,0.437,0.453
5hN8B7iH9FsMgZFkyJtVcC,acoustic,Rylynn,Don Ross,0.408,0.394
4OfjX48ZacUS6Noi2KIXbS,acoustic,Rolling In The Deep (Acapella),Adele,0.476,0.142
3k9qjgu8zVKTEuJVJIYyc0,acoustic,Just Breathe,Pearl Jam,0.302,0.349
4vojpVoYaj4myAkIcfNKIN,acoustic,U Smile,Justin Bieber,0.419,0.605
5d8L73s2DVUlIi4KENcxeO,acoustic,More Than This,Norah Jones,0.542,0.296
4Roqb07dEs3cP9FCsjqO7j,acoustic,You Learn,Takida,0.37,0.558
3LHg768dEKqJKht2uPTlVR,acoustic,Ghosts,Laura Marling,0.75,0.368
7bcHBD27hxkK5aSXjWOysM,acoustic,When I Held Ya,Moa Lignell,0.418,0.645
3GMV7ltaBogDx7TGaCKsKr,acoustic,I Try,Ben Taylor,0.423,0.139
0j9KNQ9pDEQejEm3wdgiAr,acoustic,I Love the Rain the Most,Joe Purdy,0.582,0.256
1j5cGcXWdHKTPQ2XgXODJI,acoustic,I'm Yours - Live on HSN Live,Jason Mraz,0.574,0.694
2ds9vlk6o6BRCc2FAkmOvX,acoustic,Beat It,Fall Out Boy,0.841,0.936
